FyH;Equity
6/7/16 11:00;1000
6/7/16 12:00;1001
6/7/16 13:00;1003
6/7/16 14:00;1004
6/7/16 15:00;1005
6/7/16 16:00;999
6/7/16 17:00;996
6/7/16 18:00;1016
6/7/16 19:00;1031
6/7/16 20:00;1034
6/7/16 21:00;1035
6/7/16 22:00;1034
6/7/16 23:00;1032
7/7/16 0:00;1029
7/7/16 1:00;1032
7/7/16 2:00;1033
7/7/16 3:00;1038
7/7/16 4:00;1044
7/7/16 5:00;1042
7/7/16 6:00;1043
7/7/16 7:00;1041
7/7/16 8:00;1042
7/7/16 9:00;1027
7/7/16 10:00;1047
7/7/16 11:00;1047
7/7/16 12:00;1047
7/7/16 13:00;1043
7/7/16 14:00;1044
7/7/16 15:00;1043
7/7/16 16:00;1036
7/7/16 17:00;1042
7/7/16 18:00;1043
7/7/16 19:00;928
7/7/16 20:00;929
7/7/16 21:00;927
7/7/16 22:00;931
7/7/16 23:00;933
8/7/16 0:00;934
8/7/16 1:00;930
8/7/16 2:00;935
8/7/16 3:00;938
8/7/16 4:00;938
8/7/16 5:00;937
8/7/16 6:00;937
8/7/16 7:00;937
8/7/16 8:00;936
8/7/16 9:00;936
8/7/16 10:00;939
8/7/16 11:00;937
8/7/16 12:00;939
8/7/16 13:00;939
8/7/16 14:00;939
8/7/16 15:00;939
8/7/16 16:00;939
8/7/16 17:00;939
8/7/16 18:00;939
8/7/16 19:00;939
8/7/16 20:00;939
8/7/16 21:00;939
8/7/16 22:00;939
8/7/16 23:00;939
11/7/16 1:00;939
11/7/16 2:00;939
11/7/16 3:00;939
11/7/16 4:00;939
11/7/16 5:00;939
11/7/16 6:00;939
11/7/16 7:00;939
11/7/16 8:00;938
11/7/16 9:00;936
11/7/16 10:00;945
11/7/16 11:00;931
11/7/16 12:00;951
11/7/16 13:00;946
11/7/16 14:00;944
11/7/16 15:00;919
11/7/16 16:00;902
11/7/16 17:00;905
11/7/16 18:00;902
11/7/16 19:00;904
11/7/16 20:00;902
11/7/16 21:00;897
11/7/16 22:00;897
11/7/16 23:00;901
12/7/16 0:00;902
12/7/16 1:00;908
12/7/16 2:00;907
12/7/16 3:00;906
12/7/16 4:00;904
12/7/16 5:00;907
12/7/16 6:00;910
12/7/16 7:00;909
12/7/16 8:00;908
12/7/16 9:00;908
12/7/16 10:00;905
12/7/16 11:00;898
12/7/16 12:00;863
12/7/16 13:00;864
12/7/16 14:00;868
12/7/16 15:00;862
12/7/16 16:00;860
12/7/16 17:00;859
12/7/16 18:00;850
12/7/16 19:00;838
12/7/16 20:00;841
12/7/16 21:00;849
12/7/16 22:00;854
12/7/16 23:00;859
13/7/16 0:00;856
13/7/16 1:00;858
13/7/16 2:00;855
13/7/16 3:00;859
13/7/16 4:00;865
13/7/16 5:00;866
13/7/16 6:00;861
13/7/16 7:00;864
13/7/16 8:00;863
13/7/16 9:00;867
13/7/16 10:00;869
13/7/16 11:00;872
13/7/16 12:00;872
13/7/16 13:00;871
13/7/16 14:00;872
13/7/16 15:00;872
13/7/16 16:00;876
13/7/16 17:00;882
13/7/16 18:00;873
13/7/16 19:00;883
13/7/16 20:00;873
13/7/16 21:00;874
13/7/16 22:00;865
13/7/16 23:00;874
14/7/16 0:00;860
14/7/16 1:00;807
14/7/16 2:00;864
14/7/16 3:00;868
14/7/16 4:00;920
14/7/16 5:00;934
14/7/16 6:00;934
14/7/16 7:00;892
14/7/16 8:00;896
14/7/16 9:00;957
14/7/16 10:00;954
14/7/16 11:00;777
14/7/16 12:00;691
14/7/16 13:00;811
14/7/16 14:00;612
14/7/16 15:00;665
14/7/16 16:00;677
14/7/16 17:00;677
14/7/16 18:00;676
14/7/16 19:00;680
14/7/16 20:00;683
14/7/16 21:00;681
14/7/16 22:00;682
14/7/16 23:00;681
15/7/16 0:00;682
15/7/16 1:00;681
