FyH;Eq;Lapso;GyP
7/6/16 15:00;1005;;
7/6/16 17:00;996;0 days 02:00:00.000000000;-9
7/6/16 21:00;1035;0 days 04:00:00.000000000;39
7/7/16 0:00;1029;29 days 03:00:00.000000000;-6
7/7/16 4:00;1044;0 days 04:00:00.000000000;15
7/7/16 5:00;1042;0 days 01:00:00.000000000;-2
7/7/16 6:00;1043;0 days 01:00:00.000000000;1
7/7/16 7:00;1041;0 days 01:00:00.000000000;-2
7/7/16 8:00;1042;0 days 01:00:00.000000000;1
7/7/16 9:00;1027;0 days 01:00:00.000000000;-15
7/7/16 13:00;1043;0 days 04:00:00.000000000;16
7/7/16 14:00;1044;0 days 01:00:00.000000000;1
7/7/16 16:00;1036;0 days 02:00:00.000000000;-8
7/7/16 18:00;1043;0 days 02:00:00.000000000;7
7/7/16 19:00;928;0 days 01:00:00.000000000;-115
7/7/16 20:00;929;0 days 01:00:00.000000000;1
7/7/16 21:00;927;0 days 01:00:00.000000000;-2
7/8/16 0:00;934;30 days 03:00:00.000000000;7
7/8/16 1:00;930;0 days 01:00:00.000000000;-4
7/8/16 10:00;939;0 days 09:00:00.000000000;9
7/8/16 11:00;937;0 days 01:00:00.000000000;-2
7/11/16 9:00;936;91 days 22:00:00.000000000;-1
7/11/16 10:00;945;0 days 01:00:00.000000000;9
7/11/16 11:00;931;0 days 01:00:00.000000000;-14
7/11/16 12:00;951;0 days 01:00:00.000000000;20
7/11/16 16:00;902;0 days 04:00:00.000000000;-49
7/11/16 17:00;905;0 days 01:00:00.000000000;3
7/11/16 18:00;902;0 days 01:00:00.000000000;-3
7/11/16 19:00;904;0 days 01:00:00.000000000;2
7/12/16 1:00;908;29 days 06:00:00.000000000;4
7/12/16 4:00;904;0 days 03:00:00.000000000;-4
7/12/16 6:00;910;0 days 02:00:00.000000000;6
7/12/16 12:00;863;0 days 06:00:00.000000000;-47
7/12/16 14:00;868;0 days 02:00:00.000000000;5
7/12/16 19:00;838;0 days 05:00:00.000000000;-30
7/12/16 23:00;859;0 days 04:00:00.000000000;21
13/7/16 0:00;856;-148 days +01:00:00.000000000;-3
13/7/16 1:00;858;0 days 01:00:00.000000000;2
13/7/16 2:00;855;0 days 01:00:00.000000000;-3
13/7/16 5:00;866;0 days 03:00:00.000000000;11
13/7/16 6:00;861;0 days 01:00:00.000000000;-5
13/7/16 7:00;864;0 days 01:00:00.000000000;3
13/7/16 8:00;863;0 days 01:00:00.000000000;-1
13/7/16 13:00;871;0 days 05:00:00.000000000;8
13/7/16 17:00;882;0 days 04:00:00.000000000;11
13/7/16 18:00;873;0 days 01:00:00.000000000;-9
13/7/16 19:00;883;0 days 01:00:00.000000000;10
13/7/16 20:00;873;0 days 01:00:00.000000000;-10
13/7/16 21:00;874;0 days 01:00:00.000000000;1
13/7/16 22:00;865;0 days 01:00:00.000000000;-9
13/7/16 23:00;874;0 days 01:00:00.000000000;9
14/7/16 1:00;807;0 days 02:00:00.000000000;-67
14/7/16 7:00;892;0 days 06:00:00.000000000;85
14/7/16 9:00;957;0 days 02:00:00.000000000;65
14/7/16 12:00;691;0 days 03:00:00.000000000;-266
14/7/16 13:00;811;0 days 01:00:00.000000000;120
14/7/16 14:00;612;0 days 01:00:00.000000000;-199
14/7/16 18:00;676;0 days 04:00:00.000000000;64
14/7/16 20:00;683;0 days 02:00:00.000000000;7
14/7/16 21:00;681;0 days 01:00:00.000000000;-2
14/7/16 22:00;682;0 days 01:00:00.000000000;1
14/7/16 23:00;681;0 days 01:00:00.000000000;-1
15/7/16 0:00;682;0 days 01:00:00.000000000;1
15/7/16 3:00;678;0 days 03:00:00.000000000;-4
15/7/16 4:00;680;0 days 01:00:00.000000000;2
15/7/16 6:00;600;0 days 02:00:00.000000000;-80
15/7/16 9:00;846;0 days 03:00:00.000000000;246
15/7/16 10:00;844;0 days 01:00:00.000000000;-2
15/7/16 11:00;847;0 days 01:00:00.000000000;3
15/7/16 12:00;843;0 days 01:00:00.000000000;-4
15/7/16 14:00;849;0 days 02:00:00.000000000;6
15/7/16 15:00;847;0 days 01:00:00.000000000;-2
15/7/16 16:00;849;0 days 01:00:00.000000000;2
15/7/16 18:00;808;0 days 02:00:00.000000000;-41
15/7/16 22:00;898;0 days 04:00:00.000000000;90
15/7/16 23:00;890;0 days 01:00:00.000000000;-8
18/7/16 1:00;909;2 days 02:00:00.000000000;19
18/7/16 2:00;908;0 days 01:00:00.000000000;-1
18/7/16 4:00;910;0 days 02:00:00.000000000;2
18/7/16 5:00;908;0 days 01:00:00.000000000;-2
18/7/16 6:00;915;0 days 01:00:00.000000000;7
18/7/16 7:00;914;0 days 01:00:00.000000000;-1
18/7/16 15:00;912;0 days 08:00:00.000000000;-2
18/7/16 16:00;915;0 days 01:00:00.000000000;3
18/7/16 17:00;914;0 days 01:00:00.000000000;-1
18/7/16 18:00;922;0 days 01:00:00.000000000;8
18/7/16 19:00;921;0 days 01:00:00.000000000;-1
18/7/16 22:00;926;0 days 03:00:00.000000000;5
19/7/16 2:00;909;0 days 04:00:00.000000000;-17
19/7/16 3:00;913;0 days 01:00:00.000000000;4
19/7/16 4:00;895;0 days 01:00:00.000000000;-18
19/7/16 5:00;897;0 days 01:00:00.000000000;2
19/7/16 10:00;868;0 days 05:00:00.000000000;-29
19/7/16 11:00;891;0 days 01:00:00.000000000;23
19/7/16 12:00;849;0 days 01:00:00.000000000;-42
19/7/16 14:00;1029;0 days 02:00:00.000000000;180
19/7/16 15:00;1009;0 days 01:00:00.000000000;-20
19/7/16 21:00;1018;0 days 06:00:00.000000000;9
19/7/16 23:00;1061;0 days 02:00:00.000000000;43
20/7/16 0:00;1058;0 days 01:00:00.000000000;-3
20/7/16 1:00;1066;0 days 01:00:00.000000000;8
20/7/16 3:00;1036;0 days 02:00:00.000000000;-30
20/7/16 4:00;1056;0 days 01:00:00.000000000;20
20/7/16 5:00;1055;0 days 01:00:00.000000000;-1
20/7/16 7:00;1061;0 days 02:00:00.000000000;6
20/7/16 10:00;1044;0 days 03:00:00.000000000;-17
20/7/16 16:00;1041;0 days 06:00:00.000000000;-3
20/7/16 17:00;1082;0 days 01:00:00.000000000;41
20/7/16 21:00;1071;0 days 04:00:00.000000000;-11
21/7/16 0:00;1049;0 days 03:00:00.000000000;-22
21/7/16 1:00;1058;0 days 01:00:00.000000000;9
21/7/16 2:00;1055;0 days 01:00:00.000000000;-3
21/7/16 6:00;1119;0 days 04:00:00.000000000;64
21/7/16 9:00;1113;0 days 03:00:00.000000000;-6
21/7/16 12:00;1127;0 days 03:00:00.000000000;14
